Project;Package;Class;Method;Version;LOC;Statement;Cyclomatic;Cognitive;MethodHistories;AddedLines;MaxAddedLines;AvgAddedLines;DeletedLines;MaxDeletedLines;AvgDeletedLines;Churn;MaxChurn;AvgChurn;BranchPoints;NestingDepth;ParametersCount;Buggy
BOOKKEEPER;org.apache.bookkeeper.bookie;LedgerCache;getNumUsedPages;4.1.0;1;1;1;0;1;2;2;2,00;0;0;0,00;2;2;2,00;0;1;0;false
BOOKKEEPER;org.apache.bookkeeper.bookie;LedgerCache;getNumUsedPages;4.1.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.bookkeeper.bookie;LedgerCache;getNumUsedPages;4.2.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.bookkeeper.bookie;LedgerCache;getNumUsedPages;4.2.1;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;false
BOOKKEEPER;org.apache.hedwig.protocol;LedgerRange;newBuilderForType;4.0.0;1;1;1;0;1;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.protocol;LedgerRange;newBuilderForType;4.1.0;1;1;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;0;true
BOOKKEEPER;org.apache.hedwig.protocol;LedgerRange;newBuilderForType;4.1.1;2;2;1;0;1;5;5;5,00;0;0;0,00;5;5;5,00;0;1;1;false
BOOKKEEPER;org.apache.hedwig.protocol;LedgerRange;newBuilderForType;4.2.0;2;2;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;1;true
BOOKKEEPER;org.apache.hedwig.protocol;LedgerRange;newBuilderForType;4.2.1;2;2;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;1;1;true
BOOKKEEPER;org.apache.hedwig.admin.console;MyCommand;runCmd;4.1.0;0;0;1;0;1;0;0;0,00;0;0;0,00;0;0;0,00;0;0;1;false
BOOKKEEPER;org.apache.hedwig.admin.console;MyCommand;runCmd;4.1.1;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;1;false
BOOKKEEPER;org.apache.hedwig.admin.console;MyCommand;runCmd;4.2.0;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;1;true
BOOKKEEPER;org.apache.hedwig.admin.console;MyCommand;runCmd;4.2.1;0;0;1;0;0;0;0;0,00;0;0;0,00;0;0;0,00;0;0;1;true
BOOKKEEPER;org.apache.hedwig.protocol;PubSubRequest;getDescriptor;4.0.0;1;1;1;0;2;6;3;3,00;3;3;1,50;9;6;4,50;0;1;0;true
